teacher_id,name,email,phone,department,designation,subject_expertise,primary_subjects,available_time_slots,preferred_campus,experience_years,qualification,specialization,max_hours_per_week,can_teach_lab,preferred_days,office_location,status,joining_date,assigned_batches,employee_id,salary_grade,research_interests,publications_count,training_completed
TCH1056,Manthan Lata,tch1056@university.edu,+911024994717,Physics,Assistant Professor,"Physics, Applied Physics, Engineering Physics","Physics, Applied Physics","08:00-14:30, 10:00-16:30",Campus-3,18,M.Sc,Physics,20,True,"Wednesday, Saturday, Monday, Tuesday, Thursday, Friday","Campus-3, Block B",Active,2021-09-06,"A21, A22, A23",EMP1056,Grade-7,"Engineering Physics, Applied Physics",2,"Faculty Development Program, Research Methodology"
TCH1057,Anita Tella,tch1057@university.edu,7719065940,Physics,Assistant Professor,"Physics, Applied Physics, Engineering Physics","Physics, Applied Physics","10:00-16:30, 08:00-14:30",Campus-3,16,M.Sc,Engineering Physics,23,True,"Friday, Thursday, Wednesday, Monday, Saturday, Tuesday","Campus-3, Block A",Active,2016-04-22,"A22, A23, A24",EMP1057,Grade-6,"Engineering Physics, Physics",2,"Faculty Development Program, Digital Pedagogy"
TCH1058,Amruta Baria,tch1058@university.edu,+917874296717,Physics,Assistant Professor,"Physics, Applied Physics, Engineering Physics","Physics, Applied Physics","11:20-18:00, 10:00-16:30, 08:00-14:30",Campus-3,5,Ph.D,Physics,18,True,"Thursday, Monday, Friday, Saturday, Wednesday, Tuesday","Campus-3, Block D",Active,2018-08-13,"A23, A24, A25",EMP1058,Grade-6,"Engineering Physics, Applied Physics",4,"Faculty Development Program, Research Methodology"
TCH1059,Ekani Cheema,tch1059@university.edu,+915674680715,Physics,Assistant Professor,"Physics, Applied Physics, Engineering Physics","Physics, Applied Physics","10:00-16:30, 11:20-18:00",Campus-3,10,M.Tech,Engineering Physics,20,True,"Thursday, Saturday, Tuesday, Friday, Monday","Campus-3, Block C",Active,2017-10-03,"A24, A25, A26",EMP1059,Grade-6,"Physics, Applied Physics",8,"Faculty Development Program, Teaching Methodology"
TCH1060,Netra Varkey,tch1060@university.edu,+918760385977,Computer Science Engineering,Assistant Professor,"Programming, Data Structures, Computer Networks","Programming, Data Structures","10:00-16:30, 08:00-14:30",Campus-15B,23,Ph.D,Computer Networks,23,True,"Monday, Wednesday, Tuesday, Saturday, Friday","Campus-15B, Block A",Active,2022-04-29,"B25, B26, B27",EMP1060,Grade-4,"Computer Networks, Programming",7,"Faculty Development Program, Research Methodology"
TCH1061,Amara Deep,tch1061@university.edu,07710932480,Computer Science Engineering,Assistant Professor,"Programming, Data Structures, Computer Networks","Programming, Data Structures","11:20-18:00, 08:00-14:30",Campus-15B,10,Ph.D,Programming,22,True,"Tuesday, Monday, Friday, Thursday, Wednesday, Saturday","Campus-15B, Block B",Active,2020-06-15,"B26, B27, B28",EMP1061,Grade-6,"Programming, Computer Networks",8,"Faculty Development Program, Teaching Methodology"
TCH1062,Umang Comar,tch1062@university.edu,01274846773,Computer Science Engineering,Assistant Professor,"Programming, Data Structures, Computer Networks","Programming, Data Structures","11:20-18:00, 10:00-16:30",Campus-15B,18,M.Tech,Computer Networks,18,True,"Thursday, Wednesday, Monday, Tuesday, Saturday, Friday","Campus-15B, Block E",Active,2019-08-06,"B27, B28, B29",EMP1062,Grade-5,"Data Structures, Programming",1,"Faculty Development Program, Research Methodology"
TCH1063,Leela Halder,tch1063@university.edu,8214658404,Computer Science Engineering,Assistant Professor,"Programming, Data Structures, Computer Networks","Programming, Data Structures","10:00-16:30, 08:00-14:30, 11:20-18:00",Campus-15B,24,B.Tech + M.Tech,Programming,18,True,"Friday, Tuesday, Monday, Thursday, Saturday, Wednesday","Campus-15B, Block D",Active,2022-01-07,"B28, B29, B30",EMP1063,Grade-5,"Data Structures, Computer Networks",3,"Faculty Development Program, Digital Pedagogy"
TCH1064,Manthan Sekhon,tch1064@university.edu,7558867533,Computer Science Engineering,Assistant Professor,"Programming, Data Structures, Computer Networks","Programming, Data Structures","11:20-18:00, 08:00-14:30",Campus-15B,15,B.Tech + M.Tech,Programming,21,True,"Thursday, Saturday, Friday, Wednesday, Monday, Tuesday","Campus-15B, Block D",Active,2020-08-18,"B29, B30, B31",EMP1064,Grade-6,"Computer Networks, Data Structures",11,"Faculty Development Program, Teaching Methodology"
TCH1065,Nirja Bassi,tch1065@university.edu,07662702895,Computer Science Engineering,Assistant Professor,"Programming, Data Structures, Computer Networks","Programming, Data Structures","08:00-14:30, 11:20-18:00, 10:00-16:30",Campus-15B,4,B.Tech + M.Tech,Programming,23,True,"Tuesday, Friday, Monday, Wednesday, Saturday, Thursday","Campus-15B, Block D",Active,2023-04-24,"B30, B31, B32",EMP1065,Grade-6,"Computer Networks, Data Structures",1,"Faculty Development Program, Research Methodology"
TCH1066,Harish Vora,tch1066@university.edu,00262174596,Computer Science Engineering,Assistant Professor,"Programming, Data Structures, Computer Networks","Programming, Data Structures","10:00-16:30, 08:00-14:30, 11:20-18:00",Campus-15B,6,B.Tech + M.Tech,Programming,24,True,"Wednesday, Friday, Saturday, Monday, Tuesday","Campus-15B, Block E",Active,2021-05-02,"B31, B32, B33",EMP1066,Grade-4,"Data Structures, Programming",8,"Faculty Development Program, Teaching Methodology"
TCH1067,Lajita Nadig,tch1067@university.edu,7809134316,Computer Science Engineering,Assistant Professor,"Programming, Data Structures, Computer Networks","Programming, Data Structures","10:00-16:30, 11:20-18:00",Campus-15B,12,M.Sc,Programming,19,True,"Friday, Thursday, Monday, Saturday, Wednesday","Campus-15B, Block A",Active,2024-04-15,"B32, B33, B34",EMP1067,Grade-4,"Data Structures, Computer Networks",14,"Faculty Development Program, Research Methodology"
TCH1068,Sachi Ganesan,tch1068@university.edu,4005045562,Computer Science Engineering,Assistant Professor,"Programming, Data Structures, Computer Networks","Programming, Data Structures","10:00-16:30, 11:20-18:00",Campus-15B,25,M.Sc,Computer Networks,22,True,"Monday, Tuesday, Friday, Wednesday, Saturday","Campus-15B, Block A",Active,2017-09-06,"B33, B34, B35",EMP1068,Grade-5,"Data Structures, Computer Networks",15,"Faculty Development Program, Digital Pedagogy"
TCH1069,Pranit Garde,tch1069@university.edu,+911969379237,Computer Science Engineering,Assistant Professor,"Programming, Data Structures, Computer Networks","Programming, Data Structures","10:00-16:30, 11:20-18:00, 08:00-14:30",Campus-15B,18,M.Tech,Data Structures,21,True,"Wednesday, Friday, Thursday, Saturday, Tuesday","Campus-15B, Block A",Active,2021-03-23,"B34, B35, B36",EMP1069,Grade-4,"Data Structures, Programming",0,"Faculty Development Program, Teaching Methodology"
TCH1070,Aadhya Andra,tch1070@university.edu,04821759464,Computer Science Engineering,Assistant Professor,"Programming, Data Structures, Computer Networks","Programming, Data Structures","08:00-14:30, 11:20-18:00, 10:00-16:30",Campus-15B,11,M.Sc,Programming,18,True,"Saturday, Thursday, Tuesday, Monday, Friday, Wednesday","Campus-15B, Block E",Active,2019-08-06,"B35, B36, A01",EMP1070,Grade-6,"Programming, Data Structures",1,"Faculty Development Program, Research Methodology"
TCH1071,Rushil Rajagopalan,tch1071@university.edu,01369594406,Computer Science Engineering,Assistant Professor,"Programming, Data Structures, Computer Networks","Programming, Data Structures","10:00-16:30, 08:00-14:30",Campus-15B,12,B.Tech + M.Tech,Computer Networks,21,True,"Wednesday, Monday, Thursday, Friday, Tuesday, Saturday","Campus-15B, Block E",Active,2017-12-15,"B36, A01, A02",EMP1071,Grade-8,"Computer Networks, Data Structures",2,"Faculty Development Program, Research Methodology"
TCH1072,Watika Mangat,tch1072@university.edu,+919533942104,Environmental Science,Assistant Professor,"Environmental Science, Ecology, Environmental Engineering","Environmental Science, Ecology","08:00-14:30, 10:00-16:30",Campus-3,20,B.Tech + M.Tech,Environmental Engineering,18,False,"Wednesday, Saturday, Tuesday, Thursday, Monday, Friday","Campus-3, Block E",Active,2022-08-01,"A01, A02, A03",EMP1072,Grade-2,"Environmental Engineering, Environmental Science",11,"Faculty Development Program, Research Methodology"
TCH1073,Janya Deep,tch1073@university.edu,+914562328588,Environmental Science,Assistant Professor,"Environmental Science, Ecology, Environmental Engineering","Environmental Science, Ecology","08:00-14:30, 11:20-18:00",Campus-3,6,M.Sc,Environmental Science,19,False,"Saturday, Monday, Tuesday, Wednesday, Thursday","Campus-3, Block D",Active,2023-09-15,"A02, A03, A04",EMP1073,Grade-8,"Environmental Engineering, Ecology",10,"Faculty Development Program, Teaching Methodology"
TCH1074,Aarini Subramaniam,tch1074@university.edu,05171236851,Environmental Science,Assistant Professor,"Environmental Science, Ecology, Environmental Engineering","Environmental Science, Ecology","08:00-14:30, 10:00-16:30, 11:20-18:00",Campus-3,22,M.Sc,Ecology,22,False,"Wednesday, Friday, Monday, Tuesday, Saturday","Campus-3, Block D",Active,2022-08-07,"A03, A04, A05",EMP1074,Grade-1,"Environmental Science, Ecology",9,"Faculty Development Program, Teaching Methodology"
TCH1075,Aishani Yadav,tch1075@university.edu,+917549651370,Environmental Science,Assistant Professor,"Environmental Science, Ecology, Environmental Engineering","Environmental Science, Ecology","11:20-18:00, 10:00-16:30",Campus-3,16,M.Tech,Ecology,24,False,"Wednesday, Friday, Thursday, Saturday, Monday","Campus-3, Block A",Active,2021-01-22,"A04, A05, A06",EMP1075,Grade-8,"Environmental Science, Ecology",2,"Faculty Development Program, Digital Pedagogy"
TCH1076,Timothy Bhatnagar,tch1076@university.edu,7461200471,Life Sciences,Assistant Professor,"Science of Living Systems, Biology, Biotechnology","Science of Living Systems, Biology","08:00-14:30, 11:20-18:00",Campus-3,24,B.Tech + M.Tech,Biology,22,True,"Wednesday, Saturday, Friday, Tuesday, Thursday","Campus-3, Block C",Active,2016-05-11,"A05, A06, A07",EMP1076,Grade-1,"Biotechnology, Biology",2,"Faculty Development Program, Research Methodology"
TCH1077,Lipika Setty,tch1077@university.edu,08692617964,Life Sciences,Assistant Professor,"Science of Living Systems, Biology, Biotechnology","Science of Living Systems, Biology","11:20-18:00, 10:00-16:30",Campus-3,11,M.Sc,Biotechnology,24,True,"Wednesday, Monday, Tuesday, Thursday, Saturday","Campus-3, Block D",Active,2015-10-12,"A06, A07, A08",EMP1077,Grade-3,"Biotechnology, Science of Living Systems",9,"Faculty Development Program, Digital Pedagogy"
TCH1078,Teerth Sawhney,tch1078@university.edu,03515850643,Life Sciences,Assistant Professor,"Science of Living Systems, Biology, Biotechnology","Science of Living Systems, Biology","11:20-18:00, 10:00-16:30, 08:00-14:30",Campus-3,23,M.Tech,Biotechnology,23,True,"Friday, Wednesday, Monday, Tuesday, Saturday, Thursday","Campus-3, Block B",Active,2024-03-13,"A07, A08, A09",EMP1078,Grade-6,"Biology, Science of Living Systems",7,"Faculty Development Program, Teaching Methodology"
TCH1079,Gavin Kala,tch1079@university.edu,9005329318,Life Sciences,Assistant Professor,"Science of Living Systems, Biology, Biotechnology","Science of Living Systems, Biology","08:00-14:30, 10:00-16:30",Campus-3,5,M.Tech,Biotechnology,20,True,"Friday, Thursday, Tuesday, Monday, Wednesday","Campus-3, Block E",Active,2017-05-07,"A08, A09, A10",EMP1079,Grade-3,"Biotechnology, Biology",1,"Faculty Development Program, Research Methodology"
TCH1080,Viraj Narasimhan,tch1080@university.edu,+919042284210,Mechanical Engineering,Assistant Professor,"Engineering Drawing & Graphics, CAD, Technical Drawing","Engineering Drawing & Graphics, CAD","11:20-18:00, 08:00-14:30, 10:00-16:30",Campus-15B,21,M.Sc,Technical Drawing,24,True,"Tuesday, Friday, Saturday, Thursday, Wednesday, Monday","Campus-15B, Block C",Active,2016-09-02,"A09, A10, A11",EMP1080,Grade-8,"CAD, Technical Drawing",12,"Faculty Development Program, Digital Pedagogy"
TCH1081,Wazir Naik,tch1081@university.edu,+912402681177,Mechanical Engineering,Assistant Professor,"Engineering Drawing & Graphics, CAD, Technical Drawing","Engineering Drawing & Graphics, CAD","08:00-14:30, 11:20-18:00, 10:00-16:30",Campus-15B,10,M.Tech,Technical Drawing,21,True,"Friday, Monday, Saturday, Tuesday, Thursday, Wednesday","Campus-15B, Block C",Active,2022-06-27,"A10, A11, A12",EMP1081,Grade-8,"Technical Drawing, Engineering Drawing & Graphics",13,"Faculty Development Program, Teaching Methodology"
TCH1082,Siya Thakur,tch1082@university.edu,+919084700766,Mechanical Engineering,Assistant Professor,"Engineering Drawing & Graphics, CAD, Technical Drawing","Engineering Drawing & Graphics, CAD","10:00-16:30, 11:20-18:00",Campus-15B,2,B.Tech + M.Tech,Engineering Drawing & Graphics,21,True,"Tuesday, Thursday, Monday, Saturday, Friday, Wednesday","Campus-15B, Block C",Active,2021-08-29,"A11, A12, A13",EMP1082,Grade-2,"Technical Drawing, CAD",4,"Faculty Development Program, Teaching Methodology"
TCH1083,Sachi Borah,tch1083@university.edu,+915921249985,Mechanical Engineering,Assistant Professor,"Engineering Drawing & Graphics, CAD, Technical Drawing","Engineering Drawing & Graphics, CAD","10:00-16:30, 11:20-18:00",Campus-15B,24,Ph.D,Technical Drawing,21,True,"Friday, Monday, Saturday, Thursday, Tuesday, Wednesday","Campus-15B, Block B",Active,2018-11-30,"A12, A13, A14",EMP1083,Grade-7,"Engineering Drawing & Graphics, CAD",7,"Faculty Development Program, Research Methodology"
TCH1084,Sudiksha Tiwari,tch1084@university.edu,6118367365,Mechanical Engineering,Assistant Professor,"Engineering Drawing & Graphics, CAD, Technical Drawing","Engineering Drawing & Graphics, CAD","08:00-14:30, 11:20-18:00",Campus-15B,15,B.Tech + M.Tech,Engineering Drawing & Graphics,18,True,"Friday, Saturday, Monday, Wednesday, Thursday, Tuesday","Campus-15B, Block C",Active,2022-12-06,"A13, A14, A15",EMP1084,Grade-7,"Engineering Drawing & Graphics, CAD",7,"Faculty Development Program, Digital Pedagogy"
TCH1085,Ojasvi Chandran,tch1085@university.edu,06545271111,Mechanical Engineering,Assistant Professor,"Engineering Drawing & Graphics, CAD, Technical Drawing","Engineering Drawing & Graphics, CAD","08:00-14:30, 11:20-18:00, 10:00-16:30",Campus-15B,4,M.Tech,CAD,24,True,"Monday, Thursday, Wednesday, Tuesday, Saturday, Friday","Campus-15B, Block A",Active,2019-05-16,"A14, A15, A16",EMP1085,Grade-6,"Engineering Drawing & Graphics, Technical Drawing",10,"Faculty Development Program, Teaching Methodology"
TCH1086,Kalpit Bhasin,tch1086@university.edu,8851656049,Physical Education,Sports Instructor,"Sports and Yoga, Physical Fitness, Sports Psychology","Sports and Yoga, Physical Fitness","10:00-16:30, 11:20-18:00",Campus-3,22,Ph.D,Sports Psychology,21,False,"Saturday, Tuesday, Friday, Monday, Thursday, Wednesday","Campus-3, Block C",Active,2018-04-19,"A15, A16, A17",EMP1086,Grade-4,"Sports and Yoga, Sports Psychology",1,"Faculty Development Program, Research Methodology"
TCH1087,Yashica Kala,tch1087@university.edu,+917315851493,Physical Education,Sports Instructor,"Sports and Yoga, Physical Fitness, Sports Psychology","Sports and Yoga, Physical Fitness","11:20-18:00, 10:00-16:30, 08:00-14:30",Campus-3,10,M.Tech,Sports Psychology,19,False,"Wednesday, Monday, Saturday, Tuesday, Friday, Thursday","Campus-3, Block D",Active,2022-10-01,"A16, A17, A18",EMP1087,Grade-7,"Sports Psychology, Physical Fitness",12,"Faculty Development Program, Research Methodology"
TCH1088,Amara Balakrishnan,tch1088@university.edu,+914455022961,Physical Education,Sports Instructor,"Sports and Yoga, Physical Fitness, Sports Psychology","Sports and Yoga, Physical Fitness","10:00-16:30, 11:20-18:00",Campus-3,13,M.Sc,Sports and Yoga,23,False,"Monday, Thursday, Tuesday, Wednesday, Friday, Saturday","Campus-3, Block A",Active,2016-10-05,"A17, A18, A19",EMP1088,Grade-2,"Physical Fitness, Sports Psychology",9,"Faculty Development Program, Research Methodology"
TCH1089,Gavin Wali,tch1089@university.edu,+916675254599,Physical Education,Sports Instructor,"Sports and Yoga, Physical Fitness, Sports Psychology","Sports and Yoga, Physical Fitness","08:00-14:30, 10:00-16:30, 11:20-18:00",Campus-3,16,M.Tech,Sports Psychology,24,False,"Friday, Thursday, Wednesday, Saturday, Monday, Tuesday","Campus-3, Block D",Active,2016-04-01,"A18, A19, A20",EMP1089,Grade-6,"Sports Psychology, Sports and Yoga",0,"Faculty Development Program, Teaching Methodology"
TCH1090,Nachiket Dugar,tch1090@university.edu,0147679764,Technical Support,Lab Assistant,"Lab Support, Equipment Maintenance, Technical Assistance","Lab Support, Equipment Maintenance","08:00-14:30, 11:20-18:00, 10:00-16:30",Campus-3,9,M.Sc,Equipment Maintenance,21,True,"Friday, Tuesday, Thursday, Saturday, Wednesday","Campus-3, Block D",Active,2017-06-04,"A19, A20, A21",EMP1090,Grade-2,"Technical Assistance, Lab Support",11,"Faculty Development Program, Research Methodology"
TCH1091,Hemani Sani,tch1091@university.edu,+914978403690,Technical Support,Lab Assistant,"Lab Support, Equipment Maintenance, Technical Assistance","Lab Support, Equipment Maintenance","11:20-18:00, 10:00-16:30, 08:00-14:30",Campus-3,5,M.Tech,Technical Assistance,19,True,"Friday, Thursday, Monday, Tuesday, Wednesday, Saturday","Campus-3, Block B",Active,2015-07-22,"A20, A21, A22",EMP1091,Grade-5,"Technical Assistance, Equipment Maintenance",6,"Faculty Development Program, Teaching Methodology"
TCH1092,Siddharth Devan,tch1092@university.edu,04510762268,Technical Support,Lab Assistant,"Lab Support, Equipment Maintenance, Technical Assistance","Lab Support, Equipment Maintenance","08:00-14:30, 10:00-16:30",Campus-3,7,B.Tech + M.Tech,Lab Support,24,True,"Saturday, Wednesday, Monday, Friday, Tuesday, Thursday","Campus-3, Block B",Active,2021-10-25,"A21, A22, A23",EMP1092,Grade-3,"Equipment Maintenance, Lab Support",3,"Faculty Development Program, Teaching Methodology"
TCH1093,Ekbal Ranganathan,tch1093@university.edu,0607159696,Technical Support,Lab Assistant,"Lab Support, Equipment Maintenance, Technical Assistance","Lab Support, Equipment Maintenance","08:00-14:30, 10:00-16:30",Campus-3,2,M.Sc,Technical Assistance,22,True,"Thursday, Friday, Tuesday, Wednesday, Monday, Saturday","Campus-3, Block C",Active,2021-11-14,"A22, A23, A24",EMP1093,Grade-7,"Technical Assistance, Equipment Maintenance",13,"Faculty Development Program, Research Methodology"
TCH1094,Bimala Contractor,tch1094@university.edu,00529751613,Technical Support,Lab Assistant,"Lab Support, Equipment Maintenance, Technical Assistance","Lab Support, Equipment Maintenance","08:00-14:30, 10:00-16:30",Campus-3,22,M.Tech,Equipment Maintenance,21,True,"Tuesday, Friday, Saturday, Monday, Thursday, Wednesday","Campus-3, Block A",Active,2019-05-29,"A23, A24, A25",EMP1094,Grade-3,"Equipment Maintenance, Lab Support",5,"Faculty Development Program, Research Methodology"
